0000000156.png,SVbU0YlidzU,155,0,龍井”綠色瀑布”秘境遊客拍照踩壞地瓜葉
0000000184.png,SVbU0YlidzU,183,27,莊進黨若說證游客拍照踩壞地瓜葉
0000000206.png,SVbU0YlidzU,205,54,
0000000223.png,SVbU0YlidzU,222,81,龍井綠色瀑布秘境遊客拍照踩壞地瓜葉
0000000133.png,cnxYeWHTa_w,132,108,直降中機翼燒成焦骨!乘客尖叫逃難
0000000168.png,cnxYeWHTa_w,167,135,兆離火燒機!乘客爭先拿行李延誤逃生
0000000178.png,cnxYeWHTa_w,177,162,談遭雷擊!俄機迫降撞跑道引大火41死
0000000201.png,cnxYeWHTa_w,200,189,疑遭雷擊!俄機迫降撞跑道引大火41死
0000000216.png,cnxYeWHTa_w,215,216,蘇慢100型同型客機2012年空難釀45死
0000000006.png,KHn9JkmZKXc,5,243,拍“暗黑系婚紗後離婚男再扮七爺八爺
0000000032.png,KHn9JkmZKXc,31,270,"白""暗黑系婚紗後離婚男再扮七爺八爺"
0000000068.png,KHn9JkmZKXc,67,297,拍“暗黑系婚紗後離婚男再扮七爺八爺
0000000006.png,BDagHBtpVPc,5,324,重機逆撞瑪莎拉蒂騎士慘摔荷包大失血
0000000067.png,BDagHBtpVPc,66,351,"並向對撞海神,天價停車費騎士恐目屎那滴"
0000000016.png,qKl1PY1Vq5c,15,378,潛艦國造新進度英:潛艦廠房將動土
0000000030.png,qKl1PY1Vq5c,29,405,封閉式潛艦廠房國內優先選材製造
0000000064.png,qKl1PY1Vq5c,63,432,前艦戰略性武器躲伏擊區擊毀中船艦
0000000087.png,qKl1PY1Vq5c,86,459,前艦戰略性武器躲伏擊區擊毀中船艦
0000000102.png,qKl1PY1Vq5c,101,486,艦戰略性武器躲伏擊區擊毀中船艦
0000000006.png,CGyWty5_Nto,5,513,苗縣文宣印“中國節日“議員轟統戰
0000000045.png,CGyWty5_Nto,44,540,苗縣文宣印“中國節日“議員轟統戰
0000000071.png,CGyWty5_Nto,70,567,苗縣文宣印”中國節日議員轟統戰
0000000006.png,RgSamP9F4Mg,5,594,終於!中正橋改建流標四次造價22億開工
0000000033.png,RgSamP9F4Mg,32,621,30年歷史中正橋不採取新舊橋並存模式
0000000064.png,RgSamP9F4Mg,63,648,群交通黑暗期“閃電拆除”柯:工資增三倍
0000000006.png,OHIkR7Qd2BU,5,675,車後座客沒繫安全帶”遭拍照特意開罰
0000000051.png,OHIkR7Qd2BU,50,702,翡車後座乘客沒繫安全帶「遭拍照特寫開罰
0000000006.png,T6sCY-8HUBw,5,729,彩韻廣場藝術品夯民眾冒險爬15米高拍照
0000000030.png,T6sCY-8HUBw,29,756,彩韻廣場藝術品药民眾冒險爬15米高拍照
0000000057.png,T6sCY-8HUBw,56,783,15米裝置藝術拍照養工處將設告示牌
0000000009.png,s5mLeBW86ZM,8,810,全球僅出現百次漁船捕獲3.5米長巨口鯊
0000000032.png,s5mLeBW86ZM,31,837,"台灣東部海域出現60次專家,受洋流影響"
0000000054.png,s5mLeBW86ZM,53,864,全球僅出現百漁船捕獲3.5米長巨口鯊
0000000008.png,spYEGUBobIg,7,891,挑幼兒園限定!兒童節禮”企鵝包萌吸睛
0000000034.png,spYEGUBobIg,33,918,發近5萬個!可愛實用”企鵝包詢問度高
0000000058.png,spYEGUBobIg,57,945,發近5萬個!可愛實用”企鵝包詢問度高
0000000006.png,ilVkJzvPhnI,5,972,"“幫你接送小孩”議員受恐嚇質詢暴怒落淚,"
0000000031.png,ilVkJzvPhnI,30,999,質詢施政有錯?議員淚誰動我小孩跟他拚命
0000000083.png,ilVkJzvPhnI,82,1026,幫你接送小孩議員受恐嚇質詢暴怒落淚
0000000006.png,tqvyFf96ipg,5,1053,韓粉喻幫接小孩議員落淚撂話跟你拚命
