0000000006.png,8ZTqEVpgevY,5,0,"""南安小黑熊""頭好壯壯野訓成功近期將野放回家"
0000000022.png,8ZTqEVpgevY,21,24,“南安小黑熊”頭好壯壯野訓成功近期將野放回家
0000000048.png,8ZTqEVpgevY,47,48,臺陌生地不熟要吃苦小黑熊持續增重計畫;
0000000091.png,8ZTqEVpgevY,90,72,訓練不能靠近陌生人近期將野放小黑熊回家
0000000009.png,IJDkSErmvWg,8,96,"郭董臉書:每天160萬人吃不飽陳吉仲:2013年資料,"
0000000048.png,IJDkSErmvWg,47,120,被立委點名網軍標案“黑箱”作業陳吉仲駁斥
0000000078.png,IJDkSErmvWg,77,144,郭台銘臉書PO文農委會主委陳吉仲隔空澄清
0000000001.png,U-n1-6lrHvw,1,168,拒絕乾杯遭毆?北市知名高中疑爆霸凌
0000000034.png,U-n1-6lrHvw,33,192,“我要跟你乾杯”遭拒絕男找同學問罪出拳毆人
0000000081.png,U-n1-6lrHvw,80,216,校園霸凌?北市知名高中:已找雙方家長釐清
0000000001.png,wpecV4vEGfM,1,240,車經斑馬線不禮讓視障者最高罰7200元
0000000015.png,wpecV4vEGfM,14,264,"Z型行人穿越道中部首設彰化示範點,"
0000000065.png,wpecV4vEGfM,64,288,過馬路不匆忙!Z型斑馬線增設無障礙行人庇護區
0000000092.png,wpecV4vEGfM,91,312,過馬路不知忙!Z型行人穿越道增設無障礙行人庇護區
0000000001.png,G7n_mgWBfvY,1,336,獨家現”聲”載涉殺子女運將全程陪聊天散心
0000000001.png,Fl86t6T67pY,1,360,國道撞護欄翻滾百米車內男女拋飛1死1傷
0000000036.png,Fl86t6T67pY,35,384,"人1死1傷,寵物犬也喪命甩出車外地撞護欄亡"
0000000072.png,Fl86t6T67pY,71,408,國道撞護欄翻滾百米車內男女拋飛1死1傷
0000000005.png,57R7fqpb4AY,4,432,玉山五星旗事件營建署擬禁國家公園政治性活動
0000000035.png,57R7fqpb4AY,34,456,"""政治性活動""定義模糊人權團體憂箱制言論自由"
0000000051.png,57R7fqpb4AY,50,480,臺環保原民議題也遭禁止人權團體籲停止修法
0000000085.png,57R7fqpb4AY,84,504,臺環保原民議題也遭禁止人權團體籲停止修法
0000000001.png,P9K9WieVEV0,1,528,"研究室8度觸碰涉性騷政大韓籍狼師遭判刑,"
0000000025.png,P9K9WieVEV0,24,552,"""吹乾手汗算變態嗎""兩女大生提告求償200萬"
0000000075.png,P9K9WieVEV0,74,576,"韓籍師已遭政大辭退不服判决已提上訴,"
0000000010.png,1ABhwdtq2JY,9,600,彭文正批政治打壓節目停播總統府:純屬虛構
0000000032.png,1ABhwdtq2JY,31,624,節目播一半被腰斬彭文正只能用臉書告別
0000000069.png,1ABhwdtq2JY,68,648,主持費太高節目虧本?彭文正:電視台假財報
0000000085.png,1ABhwdtq2JY,84,672,彭文正批政治打壓總統府回應:純屬虛構造謠
0000000010.png,YgboZr9RrkQ,9,696,"「韓發聲明應在我之後”柯文哲:他沉不住氣,"
0000000037.png,YgboZr9RrkQ,36,720,"不管韓國瑜說什麼!柯P:時間到再出手就好,"
0000000019.png,OINxHNWOtbg,18,744,英德之爭拚初選蔡打外交牌賴勤走基層
0000000034.png,OINxHNWOtbg,33,768,"慶火車對撞!綠五人小組著手安排二度蔡賴會,"
0000000064.png,OINxHNWOtbg,63,792,英德之爭!英系幕僚:對比式民調兩人都輸就提蔡
0000000097.png,OINxHNWOtbg,96,816,英德之爭!英系幕僚:對比式民調兩人都輸就提蔡
0000000009.png,0jsdVSr1qnU,8,840,"李佳芬""背後開槍說""藍委:應是感受人事壓力,"
0000000040.png,0jsdVSr1qnU,39,864,"李佳芬""背後開槍""是指誰吳敦義,郭台銘?"
0000000089.png,0jsdVSr1qnU,88,888,"李佳芬地""背後開槍說""藍內部現分裂危機,"
0000000001.png,BqDYXGtgOrw,1,912,"酒駕翻車撞亡七旬夫妻競速友人“同罪”判9年半,"
0000000041.png,BqDYXGtgOrw,40,936,翻車過彎失控衝對向酒駕男競速撞亡晨運夫妻
0000000069.png,BqDYXGtgOrw,68,960,"酒駕男,友人供詞相掩遭戳破判12年9年半定量"
0000000001.png,1VEdZvA539U,1,984,中捷招考僅採面試錄取100%議員爆料控舞弊
