0000000005.png,tIY3eX9l9tM,4,0,視察美濃稻米災損市長韓國瑜積極资
0000000025.png,tIY3eX9l9tM,24,24,鲁應棒超稻米間韓國瑜勘照令網友感動
0000000033.png,tIY3eX9l9tM,32,48,"苦民所苦斷不作秀”韓國瑜聞程,網友天讀"
0000000066.png,tIY3eX9l9tM,65,72,學應接起稻米間韓國瑜勘照令網友感動
0000000008.png,69H77cqDdRM,7,96,A8心傾聽民意點頭代表YESTDO
0000000001.png,Sux3v088cjE,1,120,野生彌猴現蹤基隆市區跳上電杆左攪右邊
0000000051.png,Sux3v088cjE,50,144,"野生彌猴”園區當遊樂場""動保所抓猴失利"
0000000002.png,En9LTI8_aSM,1,168,機車搶快違規左轉騎士猛烈對撞摔
0000000001.png,qipfX-pRvmA,1,192,林口社宅淹水?!隔壁洗衣自家排水孔狂冒水
0000000033.png,qipfX-pRvmA,32,216,"林口社宅設計不良?!住戶控排水孔狂冒水害淹,"
0000000001.png,4smgy-n7Nzo,1,240,衛武營管風琴踏板卡住”卡麥隆演出中斷20分鐘
0000000040.png,4smgy-n7Nzo,39,264,衛武營管風琴彈簧斷裂麥卡隆音樂會中斷
0000000001.png,LYnRQthMnzk,1,288,駕駛搶快路口對撞轎車衝撞大樓牆2輕傷
0000000011.png,LYnRQthMnzk,10,312,車頭毀1車衝撞大樓牆撞斷自來水管
0000000034.png,LYnRQthMnzk,33,336,駕駛搶快路口對撞轎車衝撞大樓牆2輕傷
0000000007.png,YvnVZBLrjJ0,6,360,連日梅雨釀坍方南庄山路大小落石不斷
0000000039.png,YvnVZBLrjJ0,38,384,小南庄鹿湖部落聯外道路嚴重
0000000005.png,IG-MhNPkwWM,4,408,兩年投入五億新能體智慧教室
0000000022.png,IG-MhNPkwWM,21,432,兩年投宜億打造智慧教室
0000000049.png,IG-MhNPkwWM,48,456,兩年投入億新市打造智慧教室
0000000002.png,fkqWqbCTbTs,1,480,展現“推賽馬決心韓三月節馬國參觀馬場
0000000017.png,fkqWqbCTbTs,16,504,展現“推賽馬一決心冀三月節馬國參觀馬場
0000000032.png,fkqWqbCTbTs,31,528,賽馬政見屢遭質疑韓國瑜PO文宣傳馬術比賽
0000000060.png,fkqWqbCTbTs,59,552,韓選前承諾不跳票!規模最大馬術賽高雄登場
0000000002.png,nkl2FW_YWrE,1,576,爆網軍黑韓可賺錢韓國瑜嘆民主有何意義
0000000017.png,nkl2FW_YWrE,16,600,高雄林姐曝對話網軍官首收錢製造對立”
0000000100.png,nkl2FW_YWrE,99,624,網黑韓有錢賺?強強滾爆內幕、月薪最高逾十萬
0000000003.png,HaGSw15jJac,2,648,週末假期兩天晴朗天氣宜出遊
0000000029.png,HaGSw15jJac,28,672,東風持續影響宜花局部降雨
0000000049.png,HaGSw15jJac,48,696,"高雄,屏東中南山區嚴防“午後雷陣雨"""
0000000068.png,HaGSw15jJac,67,720,週末兩天日夜溫差大早出晚歸須注意保暖
0000000110.png,HaGSw15jJac,109,744,全台紫外線達高量級出門補充水分防曬
0000000143.png,HaGSw15jJac,142,768,下週一鋒面接近清晨起零星雨勢由北往南下
0000000168.png,HaGSw15jJac,167,792,下週二起梅种東北風強台中以北天氣轉涼
0000000182.png,HaGSw15jJac,181,816,下週二雨勢最大台中以北最低溫19度
0000000005.png,hcwx0t-aITU,4,840,基金會發放端午節紅包祝街友溫馨過好節
0000000029.png,hcwx0t-aITU,28,864,基金會發放端午節包视街友溫馨過好節
0000000056.png,hcwx0t-aITU,55,888,"主辦單位與中天新聞同屬旺旺集團,"
0000000001.png,rs6Aq5gW94I,1,912,天隆大榔頭“砸破車窗!差5公分險砸女童
0000000022.png,rs6Aq5gW94I,21,936,天降大榔頭實穿休旅車頂玻璃劃傷女童
0000000050.png,rs6Aq5gW94I,49,960,天隆御頭慣穿休旅車頂玻璃劃傷童
0000000073.png,rs6Aq5gW94I,72,984,柳頭離奇車待釐清工地人員會賠償
0000000010.png,uvc2Y-2Ozpg,9,1008,"造型師四染毒遭逮檢偵訊後裁定2萬交保,"
0000000042.png,uvc2Y-2Ozpg,41,1032,藝人造型師小四染毒住處搜出安毒海洛因
0000000058.png,uvc2Y-2Ozpg,57,1056,與室友吸毒遭逮小四租屋處遭查獲擁4種毒品
0000000001.png,XIZesLOH3ec,1,1080,"驚險雨难屏東區溪水暴涨67人受困,"
0000000038.png,XIZesLOH3ec,37,1104,"湖遭困67人受困,救難人員架繩橫渡救回"
0000000001.png,0NWXjJgtW70,1,1128,藍公路落石砸休旅車夫妻驚逃手腳受傷
0000000014.png,0NWXjJgtW70,13,1152,"落意外一度中斷交通搶修時恢復通行,"
0000000062.png,0NWXjJgtW70,61,1176,"容意外一度中斷交通搶修小時恢復通行,"
0000000006.png,NM0YV_ioZ00,5,1200,三合一手韓連線“往死裡打“王世堅箭韓回神
0000000039.png,NM0YV_ioZ00,38,1224,"堅定非韓不投陳揮文不可能含淚殺郭,"
0000000082.png,NM0YV_ioZ00,81,1248,韓流助陣名嘴藍国拚國會最大黨勝算天
0000000002.png,J8vskVtshQs,1,1272,每周回高雄?陳其邁被外界揣測卡韓?
0000000030.png,J8vskVtshQs,29,1296,卡韓目標“反韓復菊”?韓國瑜:相信人性本善
0000000088.png,J8vskVtshQs,87,1320,南北串連打韓?陳其邁臉書澄清“不卡高雄
0000000001.png,uKBDy7Nbmyg,1,1344,韓流崛起救全黨藍自亂陣腳忍去江山
0000000083.png,uKBDy7Nbmyg,82,1368,"韓流园起就全當,藍自亂陣腳跑去的山"
0000000003.png,2glVFBzvBN8,2,1392,教育成韓施政主軸教育局搶推首場雙讀令營
0000000021.png,2glVFBzvBN8,20,1416,“帆船VR體驗雙語夏令營近300人搶報名
0000000042.png,2glVFBzvBN8,41,1440,“船VR體驗“雙調令營近600人搶報名
0000000058.png,2glVFBzvBN8,57,1464,落實雙語教育韓國瑜領高市府積極推動
0000000003.png,VITy4zgStzo,2,1488,全台最式管風琴故障美巨星演奏被迫中斷
0000000025.png,VITy4zgStzo,24,1512,最大管風琴故障巨星卡麥隆演出中斷20分鐘
0000000054.png,VITy4zgStzo,53,1536,最恶管風琴故障巨星卡麥隆演出中斷20分鐘
0000000039.png,O_Bn7KhR9h0,38,1560,頭遭線營議員圍剿龍多次向中央喊“別卡高遊
0000000062.png,O_Bn7KhR9h0,61,1584,韓國瑜将北上參與行政院會藍委謂“主動爭取。
0000000094.png,O_Bn7KhR9h0,93,1608,直球對韓國瑜將出席行政院會爭取建設
0000000006.png,wmEgRIZK1Bo,5,1632,4/27]經韓大會演2萬名韓粉大喊選總統
0000000033.png,wmEgRIZK1Bo,32,1656,6/29台中韓大會長出席?還有空會去
0000000046.png,wmEgRIZK1Bo,45,1680,台中韓天會形?沈智慧神秘寫到陽
0000000064.png,wmEgRIZK1Bo,63,1704,6/22台中韓大會長出席?還有空會去
0000000003.png,DCDS2Ed69VM,2,1728,"游在我家淹水?住戶控排水孔狂冒泡泡水,"
